Matriz de Interseção entre Disciplinas — 5º Semestre,,,,,,,,,,,
,,,,,,,,,,,
Semestre,Disciplina,Papel no PI,Conteúdos aplicáveis,Contribuição técnica,Conexão com as demais,Entregas — Unidade 1,Entregas — Unidade 2,Momento de início,Dependências,Riscos de desalinhamento,Comunicação com Projeto
2º,Desenvolvimento Mobile,"Construir o aplicativo mobile (React Native) do cidadão e o backend/API necessário para sustentá-lo, dando continuidade ao case de 2026.1.","React Native, componentes e navegação, gerenciamento de estado, acesso a recursos do dispositivo (câmera, GPS, notificações, armazenamento local), consumo de APIs, build e empacotamento.","Entrega o app executável (núcleo do produto) e o backend que o sustenta, integrando as camadas de segurança, dados e modelo de negócio.",Aplica os controles definidos por SEG; consome e expõe dados para a camada de DADOS; implementa a jornada/proposta de NEG; é operado e monitorado conforme DOPS; entrega o produto à Projeto 5.,"App inicial (navegação, login, registro de demanda com foto e GPS, listagem e acompanhamento) consumindo um backend inicial; build rodando em dispositivo/emulador.","App completo (notificações, refinamento de UX, modo offline básico) integrado ao backend, à segurança e à camada de dados; versão final empacotada.",Semana 1–2.,Requisitos de segurança (SEG); contrato de dados (DADOS); jornada e proposta de valor (NEG).,App sem backend real; recursos do dispositivo (câmera/GPS) não utilizados; escopo do app grande demais para o período.,"Status do app/backend/build, telas concluídas por sprint, link do repositório e integrações pendentes."
2º,Segurança da Informação,"Definir e implementar os requisitos e controles de segurança e a conformidade com a LGPD, já que o app trata dados de cidadãos.","Princípios de segurança, autenticação e autorização, criptografia (em trânsito e em repouso), gestão de credenciais/tokens, análise de riscos e ameaças, LGPD, logging e auditoria.",Garante a proteção dos dados e a conformidade legal; define os controles que o app e o backend devem implementar.,Define controles para MOB implementar; orienta DADOS e DOPS quanto à proteção e à anonimização; alinha com NEG os aspectos legais (LGPD).,Análise de riscos e requisitos de segurança + modelo de autenticação/autorização + plano de conformidade com a LGPD.,"Implementação e validação dos controles (autenticação, criptografia, armazenamento seguro de tokens, logs/auditoria) e relatório de conformidade e de teste de segurança básico.",Semana 2–3.,Arquitetura do app e do backend (MOB).,Segurança tratada só no papel; armazenamento inseguro de tokens; LGPD ignorada.,"Requisitos e controles definidos, status de implementação e achados de segurança."
2º,Negócios na Internet,"Estruturar o modelo de negócio digital da plataforma no contexto de setor público, com proposta de valor, jornada, indicadores e aspectos legais.","Modelos de negócio digitais, proposta de valor, jornada do usuário, métricas e KPIs, aspectos legais e sustentabilidade da solução.",Dá sentido de produto e de serviço à solução; define os KPIs e a jornada que o app deve atender.,Orienta MOB sobre a jornada e as funcionalidades de maior valor; usa os indicadores da camada de DADOS; alinha com SEG os aspectos legais.,"Personas, Mapeamento de Stakeholders, Jornada do usuário e Modelo de negócio (canvas)","Plano de sustentabilidade do negócio, contemplando definição dos KPIs e aspectos legais.",Semana 2.,Visão do produto (MOB),"Modelo e jornada genéricos, desconectados do produto/serviço","Personas, mapa de stakeholders, mapa da jornada, modelo de negócios (canvas) e plano de sustentabilidade."
2º,Engenharia e Ciência de Dados e Big Data (Eletiva),"Projetar o pipeline de dados (ETL) das demandas e a camada de analytics, com estratégias de armazenamento e indicadores.","Engenharia e ciência de dados, ETL, armazenamento relacional e não relacional, análise de dados, fundamentos de big data e visualização.","Transforma os dados de demandas em indicadores e insights (volume, tempo de atendimento, regiões críticas) que alimentam os painéis e os KPIs.",Consome dados do backend (MOB); fornece indicadores para NEG; alinha com DOPS a operação do pipeline; respeita a proteção definida por SEG.,Modelo de dados analíticos + pipeline ETL inicial das demandas + primeiras análises (volume por categoria/região).,"Analytics consolidado (tempo de atendimento, regiões críticas, tendências) + painel; (opcional) ingestão em maior volume com dados sintéticos.",Semana 3.,Dados do backend (MOB); proteção e anonimização (SEG).,Analytics descolado do app; pipeline manual e sem reprodutibilidade.,"Pipeline e indicadores, status do painel e principais achados."
2º,Testes Automatizados (Eletiva),"Definir e implementar a estratégia de testes automatizados do app e do backend em duas etapas: fundação da automação na U1 (plano, modelagem e testes executáveis) e Continuous Testing na U2 (pipeline, E2E e métricas), com apoio crítico de IA Generativa.","Fundamentos de testes, Shift Left, conceitos e ferramentas de automação, arquitetura e frameworks de automação, testes de API, Continuous Testing e CI/CD, métricas e relatórios, manutenção da automação, IA Generativa aplicada a testes.","Entrega a suíte de testes automatizados (unidade, API e E2E) e a pipeline que a executa, com métricas e relatórios que sustentam a decisão de qualidade sobre o produto.",Testa o app e o backend de MOB; verifica os controles definidos por SEG; usa massa de dados e indicadores de DADOS; valida os fluxos de valor e KPIs de NEG; reporta a qualidade à Projeto 5.,Plano de Testes do produto + suíte de casos modelada a partir dos critérios de aceite + testes automatizados de unidade e de API executando localmente de forma reprodutível + backlog de automação priorizado + registro dos prompts e da revisão crítica dos artefatos gerados por IA.,Pipeline de testes executando por commit/PR (Continuous Testing) + suíte E2E dos fluxos principais sobre o app integrado + relatório de métricas de teste com interpretação + evidência de manutenção da suíte.,"Semana 2–3 (aulas 2 e 3, a partir de 12/8).",Critérios de aceite das histórias (MOB/NEG); backend com endpoints disponíveis (MOB); telas navegáveis até 26/8 para o laboratório mobile (MOB); requisitos de segurança (SEG); massa de dados (DADOS).,Automação restrita a exemplos genéricos em vez do app real; testes não reprodutíveis fora da máquina do autor; pipeline deixada para a última semana; casos gerados por IA aceitos sem revisão.,"Plano e backlog de automação, status da suíte e da pipeline, métricas de execução, defeitos abertos e riscos de qualidade."
2º,Projeto 5 (disciplina de Projeto),"Acompanhar processo, organização, planejamento, evolução e integração entre disciplinas. Não avalia profundamente as escolhas técnicas de cada área.","Gestão de processo e de pessoas, MVP, validação, ritos ágeis, estruturação da entrega final.","Reuniões semanais por squad, monitoramento do quadro e do cronograma, integração entre disciplinas, garantia dos marcos e da apresentação final.","Ponto focal entre todas as disciplinas; consolida feedbacks, riscos e o calendário único de entregas.",Diagnóstico inicial de organização do time + acompanhamento das sprints 1–2 + checkpoint de integração da Entrega U1.,Acompanhamento das sprints finais + preparação da apresentação + avaliação de processo e colaboração + condução da entrega integrada final.,Semana 1.,"Recebe de cada disciplina, no kickoff, o calendário de entregas técnicas e os critérios de avaliação.",Tornar-se dona do projeto técnico; times dependerem da Projeto para tudo; avaliar mérito técnico que não é seu papel.,—
